True Cost 	Penalty 	Adjusted Cost
8.749606E-02	0.000000E+00	8.749606E-02
8.996622E-02	0.000000E+00	8.996622E-02
8.269166E-02	0.000000E+00	8.269166E-02
2.544351E-01	0.000000E+00	2.544351E-01
7.732412E-02	0.000000E+00	7.732412E-02
1.543441E-01	0.000000E+00	1.543441E-01
6.407531E-02	0.000000E+00	6.407531E-02
1.144691E-01	0.000000E+00	1.144691E-01
2.154076E-01	0.000000E+00	2.154076E-01
6.869172E-02	0.000000E+00	6.869172E-02
1.755757E-01	0.000000E+00	1.755757E-01
5.378278E-02	0.000000E+00	5.378278E-02
1.002359E-01	0.000000E+00	1.002359E-01
3.416288E-01	0.000000E+00	3.416288E-01
8.942503E-02	0.000000E+00	8.942503E-02
1.107228E-01	0.000000E+00	1.107228E-01
2.383071E-01	0.000000E+00	2.383071E-01
8.114537E-02	0.000000E+00	8.114537E-02
1.771642E-01	0.000000E+00	1.771642E-01
8.141441E-02	0.000000E+00	8.141441E-02
5.981747E-02	0.000000E+00	5.981747E-02
5.556015E-02	0.000000E+00	5.556015E-02
2.616110E-01	0.000000E+00	2.616110E-01
2.661496E-01	0.000000E+00	2.661496E-01
1.133495E-01	0.000000E+00	1.133495E-01
5.757915E-02	0.000000E+00	5.757915E-02
6.508840E-02	0.000000E+00	6.508840E-02
7.424411E-02	0.000000E+00	7.424411E-02
7.323604E-02	0.000000E+00	7.323604E-02
8.522813E-02	0.000000E+00	8.522813E-02
6.685863E-02	0.000000E+00	6.685863E-02
9.038410E-02	0.000000E+00	9.038410E-02
8.699827E-02	0.000000E+00	8.699827E-02
8.692691E-02	0.000000E+00	8.692691E-02
1.376760E-01	0.000000E+00	1.376760E-01
2.263376E-01	0.000000E+00	2.263376E-01
1.789450E-01	0.000000E+00	1.789450E-01
6.900517E-02	0.000000E+00	6.900517E-02
1.192499E-01	0.000000E+00	1.192499E-01
1.186700E-01	0.000000E+00	1.186700E-01
1.445243E-01	0.000000E+00	1.445243E-01
1.204589E-01	0.000000E+00	1.204589E-01
7.999070E-02	0.000000E+00	7.999070E-02
4.667739E-02	0.000000E+00	4.667739E-02
1.186656E-01	0.000000E+00	1.186656E-01
1.008695E-01	0.000000E+00	1.008695E-01
8.030051E-02	0.000000E+00	8.030051E-02
8.854235E-02	0.000000E+00	8.854235E-02
4.835059E-02	0.000000E+00	4.835059E-02
6.732833E-02	0.000000E+00	6.732833E-02
2.293693E-01	0.000000E+00	2.293693E-01
6.926987E-02	0.000000E+00	6.926987E-02
4.971949E-02	0.000000E+00	4.971949E-02
9.042546E-02	0.000000E+00	9.042546E-02
3.226927E-01	0.000000E+00	3.226927E-01
1.525298E-01	0.000000E+00	1.525298E-01
1.882254E-01	0.000000E+00	1.882254E-01
3.328121E-01	0.000000E+00	3.328121E-01
6.273972E-02	0.000000E+00	6.273972E-02
1.229766E-01	0.000000E+00	1.229766E-01
6.881592E-02	0.000000E+00	6.881592E-02
7.791448E-02	0.000000E+00	7.791448E-02
1.640440E-01	0.000000E+00	1.640440E-01
7.209869E-02	0.000000E+00	7.209869E-02
7.048462E-02	0.000000E+00	7.048462E-02
1.974181E-01	0.000000E+00	1.974181E-01
5.888095E-02	0.000000E+00	5.888095E-02
1.445755E-01	0.000000E+00	1.445755E-01
8.298425E-02	0.000000E+00	8.298425E-02
1.756659E-01	0.000000E+00	1.756659E-01
1.559894E-01	0.000000E+00	1.559894E-01
1.861515E-01	0.000000E+00	1.861515E-01
7.069140E-02	0.000000E+00	7.069140E-02
9.596330E-02	0.000000E+00	9.596330E-02
1.710752E-01	0.000000E+00	1.710752E-01
1.127449E-01	0.000000E+00	1.127449E-01
5.196445E-02	0.000000E+00	5.196445E-02
9.950622E-02	0.000000E+00	9.950622E-02
1.516941E-01	0.000000E+00	1.516941E-01
6.115618E-02	0.000000E+00	6.115618E-02
1.026597E-01	0.000000E+00	1.026597E-01
6.981598E-02	0.000000E+00	6.981598E-02
1.410280E-01	0.000000E+00	1.410280E-01
1.382735E-01	0.000000E+00	1.382735E-01
2.167845E-01	0.000000E+00	2.167845E-01
2.724048E-01	0.000000E+00	2.724048E-01
7.415750E-02	0.000000E+00	7.415750E-02
7.674652E-02	0.000000E+00	7.674652E-02
1.121898E-01	0.000000E+00	1.121898E-01
1.028627E-01	0.000000E+00	1.028627E-01
1.616510E-01	0.000000E+00	1.616510E-01
1.126171E-01	0.000000E+00	1.126171E-01
6.492082E-02	0.000000E+00	6.492082E-02
9.400596E-02	0.000000E+00	9.400596E-02
1.914544E-01	0.000000E+00	1.914544E-01
2.169076E-01	0.000000E+00	2.169076E-01
6.483069E-02	0.000000E+00	6.483069E-02
6.394677E-02	0.000000E+00	6.394677E-02
1.316015E-01	0.000000E+00	1.316015E-01
8.122658E-02	0.000000E+00	8.122658E-02
1.160777E-01	0.000000E+00	1.160777E-01
6.839886E-02	0.000000E+00	6.839886E-02
6.622464E-02	0.000000E+00	6.622464E-02
7.904480E-02	0.000000E+00	7.904480E-02
5.703447E-02	0.000000E+00	5.703447E-02
5.470385E-02	0.000000E+00	5.470385E-02
8.721325E-02	0.000000E+00	8.721325E-02
9.182299E-02	0.000000E+00	9.182299E-02
2.800586E-01	0.000000E+00	2.800586E-01
9.425227E-02	0.000000E+00	9.425227E-02
2.261931E-01	0.000000E+00	2.261931E-01
1.631227E-01	0.000000E+00	1.631227E-01
8.679761E-02	0.000000E+00	8.679761E-02
2.797877E-01	0.000000E+00	2.797877E-01
4.649086E-02	0.000000E+00	4.649086E-02
7.143209E-02	0.000000E+00	7.143209E-02
1.330551E-01	0.000000E+00	1.330551E-01
1.049485E-01	0.000000E+00	1.049485E-01
4.254847E-02	0.000000E+00	4.254847E-02
1.195492E-01	0.000000E+00	1.195492E-01
4.740325E-02	0.000000E+00	4.740325E-02
5.930400E-02	0.000000E+00	5.930400E-02
1.432827E-01	0.000000E+00	1.432827E-01
1.086900E-01	0.000000E+00	1.086900E-01
5.883798E-02	0.000000E+00	5.883798E-02
1.128311E-01	0.000000E+00	1.128311E-01
1.839151E-01	0.000000E+00	1.839151E-01
8.807593E-02	0.000000E+00	8.807593E-02
1.851524E-01	0.000000E+00	1.851524E-01
5.375325E-02	0.000000E+00	5.375325E-02
1.226127E-01	0.000000E+00	1.226127E-01
2.175189E-01	0.000000E+00	2.175189E-01
6.260464E-02	0.000000E+00	6.260464E-02
4.690831E-02	0.000000E+00	4.690831E-02
2.262910E-01	0.000000E+00	2.262910E-01
6.810949E-02	0.000000E+00	6.810949E-02
2.607351E-01	0.000000E+00	2.607351E-01
2.216469E-01	0.000000E+00	2.216469E-01
4.647696E-02	0.000000E+00	4.647696E-02
7.607301E-02	0.000000E+00	7.607301E-02
8.955902E-02	0.000000E+00	8.955902E-02
1.426498E-01	0.000000E+00	1.426498E-01
6.386216E-02	0.000000E+00	6.386216E-02
1.035026E-01	0.000000E+00	1.035026E-01
6.101484E-02	0.000000E+00	6.101484E-02
1.158415E-01	0.000000E+00	1.158415E-01
1.700722E-01	0.000000E+00	1.700722E-01
1.079960E-01	0.000000E+00	1.079960E-01
1.407410E-01	0.000000E+00	1.407410E-01
1.758494E-01	0.000000E+00	1.758494E-01
3.322238E-01	0.000000E+00	3.322238E-01
1.346465E-01	0.000000E+00	1.346465E-01
1.475789E-01	0.000000E+00	1.475789E-01
9.495781E-02	0.000000E+00	9.495781E-02
3.454813E-01	0.000000E+00	3.454813E-01
2.132977E-01	0.000000E+00	2.132977E-01
7.418996E-02	0.000000E+00	7.418996E-02
6.140596E-02	0.000000E+00	6.140596E-02
6.733116E-02	0.000000E+00	6.733116E-02
1.271234E-01	0.000000E+00	1.271234E-01
1.206728E-01	0.000000E+00	1.206728E-01
9.759933E-02	0.000000E+00	9.759933E-02
1.869314E-01	0.000000E+00	1.869314E-01
4.947177E-02	0.000000E+00	4.947177E-02
1.419930E-01	0.000000E+00	1.419930E-01
1.944402E-01	0.000000E+00	1.944402E-01
5.241261E-02	0.000000E+00	5.241261E-02
5.216664E-02	0.000000E+00	5.216664E-02
8.130173E-02	0.000000E+00	8.130173E-02
1.827073E-01	0.000000E+00	1.827073E-01
7.342774E-02	0.000000E+00	7.342774E-02
8.649799E-02	0.000000E+00	8.649799E-02
7.535303E-02	0.000000E+00	7.535303E-02
1.670896E-01	0.000000E+00	1.670896E-01
6.321738E-02	0.000000E+00	6.321738E-02
