True Cost 	Penalty 	Adjusted Cost
3.497177E-01	0.000000E+00	3.497177E-01
6.118416E-02	0.000000E+00	6.118416E-02
1.492525E-01	0.000000E+00	1.492525E-01
2.594153E-01	0.000000E+00	2.594153E-01
8.117537E-02	0.000000E+00	8.117537E-02
1.225767E-01	0.000000E+00	1.225767E-01
9.422304E-02	0.000000E+00	9.422304E-02
1.095945E-01	0.000000E+00	1.095945E-01
7.044710E-02	0.000000E+00	7.044710E-02
7.323981E-02	0.000000E+00	7.323981E-02
7.316519E-02	0.000000E+00	7.316519E-02
9.192664E-02	0.000000E+00	9.192664E-02
9.158807E-02	0.000000E+00	9.158807E-02
5.483680E-02	0.000000E+00	5.483680E-02
1.161838E-01	0.000000E+00	1.161838E-01
1.290913E-01	0.000000E+00	1.290913E-01
6.419677E-02	0.000000E+00	6.419677E-02
9.285983E-02	0.000000E+00	9.285983E-02
1.750073E-01	0.000000E+00	1.750073E-01
2.472362E-01	0.000000E+00	2.472362E-01
9.906421E-02	0.000000E+00	9.906421E-02
7.525301E-02	0.000000E+00	7.525301E-02
6.800645E-02	0.000000E+00	6.800645E-02
2.097340E-01	0.000000E+00	2.097340E-01
1.861718E-01	0.000000E+00	1.861718E-01
7.469903E-02	0.000000E+00	7.469903E-02
1.008640E-01	0.000000E+00	1.008640E-01
1.641990E-01	0.000000E+00	1.641990E-01
7.868427E-02	0.000000E+00	7.868427E-02
1.636541E-01	0.000000E+00	1.636541E-01
1.308825E-01	0.000000E+00	1.308825E-01
2.196254E-01	0.000000E+00	2.196254E-01
5.788034E-02	0.000000E+00	5.788034E-02
9.733137E-02	0.000000E+00	9.733137E-02
1.752186E-01	0.000000E+00	1.752186E-01
5.833513E-02	0.000000E+00	5.833513E-02
1.013771E-01	0.000000E+00	1.013771E-01
1.142145E-01	0.000000E+00	1.142145E-01
1.665618E-01	0.000000E+00	1.665618E-01
1.376967E-01	0.000000E+00	1.376967E-01
4.818361E-02	0.000000E+00	4.818361E-02
6.494597E-02	0.000000E+00	6.494597E-02
2.115306E-01	0.000000E+00	2.115306E-01
2.618101E-01	0.000000E+00	2.618101E-01
1.196790E-01	0.000000E+00	1.196790E-01
1.065942E-01	0.000000E+00	1.065942E-01
1.469382E-01	0.000000E+00	1.469382E-01
8.357115E-02	0.000000E+00	8.357115E-02
7.415485E-02	0.000000E+00	7.415485E-02
5.839533E-02	0.000000E+00	5.839533E-02
1.363004E-01	0.000000E+00	1.363004E-01
9.905851E-02	0.000000E+00	9.905851E-02
6.098310E-02	0.000000E+00	6.098310E-02
1.838918E-01	0.000000E+00	1.838918E-01
2.996278E-01	0.000000E+00	2.996278E-01
1.791456E-01	0.000000E+00	1.791456E-01
9.728816E-02	0.000000E+00	9.728816E-02
7.856225E-02	0.000000E+00	7.856225E-02
1.061901E-01	0.000000E+00	1.061901E-01
8.438777E-02	0.000000E+00	8.438777E-02
1.247590E-01	0.000000E+00	1.247590E-01
8.844559E-02	0.000000E+00	8.844559E-02
5.171758E-02	0.000000E+00	5.171758E-02
2.631955E-01	0.000000E+00	2.631955E-01
1.101689E-01	0.000000E+00	1.101689E-01
5.444211E-02	0.000000E+00	5.444211E-02
2.896352E-01	0.000000E+00	2.896352E-01
1.029763E-01	0.000000E+00	1.029763E-01
1.685558E-01	0.000000E+00	1.685558E-01
1.572540E-01	0.000000E+00	1.572540E-01
2.253990E-01	0.000000E+00	2.253990E-01
9.919065E-02	0.000000E+00	9.919065E-02
1.452437E-01	0.000000E+00	1.452437E-01
8.226555E-02	0.000000E+00	8.226555E-02
1.728080E-01	0.000000E+00	1.728080E-01
8.220114E-02	0.000000E+00	8.220114E-02
2.301746E-01	0.000000E+00	2.301746E-01
1.372267E-01	0.000000E+00	1.372267E-01
6.051131E-02	0.000000E+00	6.051131E-02
2.474509E-01	0.000000E+00	2.474509E-01
6.755392E-02	0.000000E+00	6.755392E-02
1.118624E-01	0.000000E+00	1.118624E-01
6.838804E-02	0.000000E+00	6.838804E-02
5.359672E-02	0.000000E+00	5.359672E-02
1.766550E-01	0.000000E+00	1.766550E-01
1.238384E-01	0.000000E+00	1.238384E-01
3.313134E-01	0.000000E+00	3.313134E-01
8.800819E-02	0.000000E+00	8.800819E-02
1.581749E-01	0.000000E+00	1.581749E-01
2.471801E-01	0.000000E+00	2.471801E-01
5.294144E-02	0.000000E+00	5.294144E-02
6.458694E-02	0.000000E+00	6.458694E-02
1.186526E-01	0.000000E+00	1.186526E-01
1.039474E-01	0.000000E+00	1.039474E-01
6.419639E-02	0.000000E+00	6.419639E-02
1.887842E-01	0.000000E+00	1.887842E-01
6.641825E-02	0.000000E+00	6.641825E-02
6.300568E-02	0.000000E+00	6.300568E-02
1.230863E-01	0.000000E+00	1.230863E-01
1.900740E-01	0.000000E+00	1.900740E-01
2.078605E-01	0.000000E+00	2.078605E-01
7.516481E-02	0.000000E+00	7.516481E-02
1.186626E-01	0.000000E+00	1.186626E-01
1.000995E-01	0.000000E+00	1.000995E-01
2.908713E-01	0.000000E+00	2.908713E-01
4.684163E-02	0.000000E+00	4.684163E-02
1.546526E-01	0.000000E+00	1.546526E-01
1.223789E-01	0.000000E+00	1.223789E-01
8.987450E-02	0.000000E+00	8.987450E-02
2.100627E-01	0.000000E+00	2.100627E-01
1.848134E-01	0.000000E+00	1.848134E-01
2.055840E-01	0.000000E+00	2.055840E-01
1.560474E-01	0.000000E+00	1.560474E-01
1.835096E-01	0.000000E+00	1.835096E-01
1.805468E-01	0.000000E+00	1.805468E-01
5.171969E-02	0.000000E+00	5.171969E-02
2.193161E-01	0.000000E+00	2.193161E-01
8.618687E-02	0.000000E+00	8.618687E-02
7.728957E-02	0.000000E+00	7.728957E-02
6.079935E-02	0.000000E+00	6.079935E-02
1.459964E-01	0.000000E+00	1.459964E-01
6.395175E-02	0.000000E+00	6.395175E-02
8.325666E-02	0.000000E+00	8.325666E-02
8.692697E-02	0.000000E+00	8.692697E-02
5.520238E-02	0.000000E+00	5.520238E-02
1.417090E-01	0.000000E+00	1.417090E-01
7.924061E-02	0.000000E+00	7.924061E-02
2.552058E-01	0.000000E+00	2.552058E-01
5.357796E-02	0.000000E+00	5.357796E-02
1.833852E-01	0.000000E+00	1.833852E-01
6.935380E-02	0.000000E+00	6.935380E-02
7.383326E-02	0.000000E+00	7.383326E-02
8.337182E-02	0.000000E+00	8.337182E-02
8.984884E-02	0.000000E+00	8.984884E-02
8.074262E-02	0.000000E+00	8.074262E-02
2.595752E-01	0.000000E+00	2.595752E-01
7.817022E-02	0.000000E+00	7.817022E-02
1.547122E-01	0.000000E+00	1.547122E-01
7.156282E-02	0.000000E+00	7.156282E-02
1.135435E-01	0.000000E+00	1.135435E-01
2.185738E-01	0.000000E+00	2.185738E-01
7.431831E-02	0.000000E+00	7.431831E-02
1.745056E-01	0.000000E+00	1.745056E-01
6.097367E-02	0.000000E+00	6.097367E-02
9.550340E-02	0.000000E+00	9.550340E-02
3.509888E-01	0.000000E+00	3.509888E-01
9.069067E-02	0.000000E+00	9.069067E-02
9.719572E-02	0.000000E+00	9.719572E-02
2.418223E-01	0.000000E+00	2.418223E-01
8.095954E-02	0.000000E+00	8.095954E-02
1.844165E-01	0.000000E+00	1.844165E-01
7.068524E-02	0.000000E+00	7.068524E-02
4.618765E-02	0.000000E+00	4.618765E-02
5.731770E-02	0.000000E+00	5.731770E-02
2.658128E-01	0.000000E+00	2.658128E-01
2.716605E-01	0.000000E+00	2.716605E-01
1.167288E-01	0.000000E+00	1.167288E-01
