True Cost 	Penalty 	Adjusted Cost
3.579075E-01	0.000000E+00	3.579075E-01
6.887720E-02	0.000000E+00	6.887720E-02
1.626292E-01	0.000000E+00	1.626292E-01
2.474448E-01	0.000000E+00	2.474448E-01
7.283708E-02	0.000000E+00	7.283708E-02
1.350099E-01	0.000000E+00	1.350099E-01
1.010520E-01	0.000000E+00	1.010520E-01
1.186109E-01	0.000000E+00	1.186109E-01
6.250913E-02	0.000000E+00	6.250913E-02
8.115254E-02	0.000000E+00	8.115254E-02
6.763111E-02	0.000000E+00	6.763111E-02
8.572814E-02	0.000000E+00	8.572814E-02
9.717403E-02	0.000000E+00	9.717403E-02
6.122156E-02	0.000000E+00	6.122156E-02
1.222392E-01	0.000000E+00	1.222392E-01
1.381819E-01	0.000000E+00	1.381819E-01
7.417092E-02	0.000000E+00	7.417092E-02
9.126292E-02	0.000000E+00	9.126292E-02
1.875253E-01	0.000000E+00	1.875253E-01
2.574117E-01	0.000000E+00	2.574117E-01
1.077431E-01	0.000000E+00	1.077431E-01
6.620281E-02	0.000000E+00	6.620281E-02
7.312668E-02	0.000000E+00	7.312668E-02
2.232617E-01	0.000000E+00	2.232617E-01
1.980618E-01	0.000000E+00	1.980618E-01
8.022860E-02	0.000000E+00	8.022860E-02
8.837025E-02	0.000000E+00	8.837025E-02
1.721643E-01	0.000000E+00	1.721643E-01
8.480231E-02	0.000000E+00	8.480231E-02
1.460187E-01	0.000000E+00	1.460187E-01
1.200355E-01	0.000000E+00	1.200355E-01
1.996872E-01	0.000000E+00	1.996872E-01
6.435129E-02	0.000000E+00	6.435129E-02
8.201131E-02	0.000000E+00	8.201131E-02
1.565409E-01	0.000000E+00	1.565409E-01
5.795167E-02	0.000000E+00	5.795167E-02
1.152827E-01	0.000000E+00	1.152827E-01
1.300660E-01	0.000000E+00	1.300660E-01
1.813246E-01	0.000000E+00	1.813246E-01
1.199443E-01	0.000000E+00	1.199443E-01
5.063936E-02	0.000000E+00	5.063936E-02
5.796224E-02	0.000000E+00	5.796224E-02
1.993156E-01	0.000000E+00	1.993156E-01
2.717496E-01	0.000000E+00	2.717496E-01
1.325884E-01	0.000000E+00	1.325884E-01
9.095701E-02	0.000000E+00	9.095701E-02
1.576227E-01	0.000000E+00	1.576227E-01
7.831912E-02	0.000000E+00	7.831912E-02
8.587696E-02	0.000000E+00	8.587696E-02
7.298214E-02	0.000000E+00	7.298214E-02
1.456361E-01	0.000000E+00	1.456361E-01
9.261856E-02	0.000000E+00	9.261856E-02
5.612849E-02	0.000000E+00	5.612849E-02
1.984440E-01	0.000000E+00	1.984440E-01
3.083139E-01	0.000000E+00	3.083139E-01
1.609776E-01	0.000000E+00	1.609776E-01
1.077398E-01	0.000000E+00	1.077398E-01
8.822279E-02	0.000000E+00	8.822279E-02
1.001637E-01	0.000000E+00	1.001637E-01
7.049916E-02	0.000000E+00	7.049916E-02
1.165828E-01	0.000000E+00	1.165828E-01
1.136197E-01	0.000000E+00	1.136197E-01
5.594093E-02	0.000000E+00	5.594093E-02
2.735582E-01	0.000000E+00	2.735582E-01
1.248954E-01	0.000000E+00	1.248954E-01
6.974347E-02	0.000000E+00	6.974347E-02
2.983657E-01	0.000000E+00	2.983657E-01
1.154095E-01	0.000000E+00	1.154095E-01
1.617460E-01	0.000000E+00	1.617460E-01
1.482286E-01	0.000000E+00	1.482286E-01
2.051386E-01	0.000000E+00	2.051386E-01
8.384223E-02	0.000000E+00	8.384223E-02
1.486960E-01	0.000000E+00	1.486960E-01
9.540747E-02	0.000000E+00	9.540747E-02
1.589890E-01	0.000000E+00	1.589890E-01
7.000735E-02	0.000000E+00	7.000735E-02
2.446181E-01	0.000000E+00	2.446181E-01
1.450507E-01	0.000000E+00	1.450507E-01
5.127181E-02	0.000000E+00	5.127181E-02
2.568643E-01	0.000000E+00	2.568643E-01
6.758973E-02	0.000000E+00	6.758973E-02
1.214713E-01	0.000000E+00	1.214713E-01
8.031888E-02	0.000000E+00	8.031888E-02
7.473490E-02	0.000000E+00	7.473490E-02
1.669523E-01	0.000000E+00	1.669523E-01
1.361231E-01	0.000000E+00	1.361231E-01
3.400662E-01	0.000000E+00	3.400662E-01
1.000294E-01	0.000000E+00	1.000294E-01
1.709034E-01	0.000000E+00	1.709034E-01
2.579481E-01	0.000000E+00	2.579481E-01
4.569099E-02	0.000000E+00	4.569099E-02
5.915149E-02	0.000000E+00	5.915149E-02
1.277490E-01	0.000000E+00	1.277490E-01
9.608430E-02	0.000000E+00	9.608430E-02
7.109552E-02	0.000000E+00	7.109552E-02
1.701198E-01	0.000000E+00	1.701198E-01
7.163487E-02	0.000000E+00	7.163487E-02
6.139576E-02	0.000000E+00	6.139576E-02
1.355316E-01	0.000000E+00	1.355316E-01
2.002535E-01	0.000000E+00	2.002535E-01
2.001649E-01	0.000000E+00	2.001649E-01
8.043974E-02	0.000000E+00	8.043974E-02
1.093017E-01	0.000000E+00	1.093017E-01
8.562028E-02	0.000000E+00	8.562028E-02
3.010356E-01	0.000000E+00	3.010356E-01
5.596909E-02	0.000000E+00	5.596909E-02
1.638179E-01	0.000000E+00	1.638179E-01
1.361347E-01	0.000000E+00	1.361347E-01
9.458207E-02	0.000000E+00	9.458207E-02
2.216148E-01	0.000000E+00	2.216148E-01
1.775447E-01	0.000000E+00	1.775447E-01
2.162344E-01	0.000000E+00	2.162344E-01
1.387365E-01	0.000000E+00	1.387365E-01
1.740345E-01	0.000000E+00	1.740345E-01
1.617455E-01	0.000000E+00	1.617455E-01
6.601478E-02	0.000000E+00	6.601478E-02
2.322018E-01	0.000000E+00	2.322018E-01
